"FilePath","ProcessingTime","OriginalSize_MB","SizeAfterReencoding_MB","SpaceSaved_MB","PercentageReduction","OriginalCodec"
"E:\Fotos\TELEMOVEL\Edge 6 Backup\20160910_193452.mp4","1.66","109.77","5.63","-104.13","-94.87","h264"
"E:\Fotos\TELEMOVEL\Edge 6 Backup\20161001_183920.mp4","2.15","138.62","25.95","-112.67","-81.28","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20161219_022816.mp4","5.31","227.58","31.33","-196.25","-86.23","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20170111_120345.mp4","1.71","115.87","5.98","-109.90","-94.84","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20170217_042754.mp4","1.89","115.83","21.85","-93.98","-81.14","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20170217_043008.mp4","2.87","201.46","37.85","-163.62","-81.21","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20170306_223709.mp4","5.83","438.05","84.13","-353.92","-80.79","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20170322_154425.mp4","12.34","861.75","159.95","-701.80","-81.44","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20170329_224724.mp4","3.04","138.77","19.56","-119.21","-85.90","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20170330_223050.mp4","2.94","191.65","36.82","-154.82","-80.79","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Abril 2017\Camera\20170404_235958.mp4","3.83","255.94","49.05","-206.89","-80.83","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-05-10 00.38.22.mp4","8.57","352.68","18.85","-333.83","-94.65","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-05-10 02.45.27.mp4","9.41","423.94","22.04","-401.90","-94.80","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-06-27 20.04.32.mp4","3.45","143.18","7.32","-135.85","-94.88","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-06-30 16.49.33.mp4","5.56","195.88","9.49","-186.39","-95.16","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-06-30 21.27.02.mp4","5.02","225.80","10.02","-215.78","-95.56","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-06-30 21.29.16.mp4","4.26","184.22","9.13","-175.09","-95.05","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-06-30 21.31.41.mp4","4.93","218.81","11.41","-207.40","-94.78","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-07-16 17.13.58.mp4","11.70","514.55","27.06","-487.49","-94.74","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-08-15 01.52.06.mp4","4.34","169.12","8.75","-160.36","-94.83","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\2014-08-15 07.37.20.mp4","4.91","189.56","10.26","-179.30","-94.59","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2014\20141231_235807.mp4","6.67","314.61","41.00","-273.60","-86.97","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2016\Camera\20151025_085356.mp4","2.96","136.24","19.31","-116.94","-85.83","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2016\Camera\20151028_235108.mp4","825.92","108.53","108.60","+0.07","+0.07","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2016\Camera\20151123_212957.mp4","4.07","293.49","56.23","-237.27","-80.84","h264"
